source_id,source_kind,publication_status,platform_label,model_id,model_revision,runtime,profile,topology,mtp_tokens,metric,concurrency,nominal_context_tokens,input_tokens,target_output_tokens,target_requests,completed_requests,num_errors,measurement_seconds,throughput,ttft_p50_seconds,itl_p50_seconds,effective_concurrency,queue_fraction,capacity_limited,source_path,source_sha256,notes
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,1,,8192,1024,5,5,0,25.328059,202.14734968817112,0.2348391929990612,0.00461031245845667,0.8,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c1.json,5a893e81027d356b1aac8b8019a3ca7776ef52e28009031e347b1b5f27933453,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,2,,8192,1024,10,10,0,27.360845,374.25744889832254,0.44491614250000566,0.004870533318669021,1.9,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c2.json,e30e4e3e805c0aeafc2ceec6ee923336d41890bea48ad74995a1e7733c3fea9b,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,4,,8192,1024,20,20,0,29.916198,684.5789672261332,0.4571787120003137,0.005304217030302874,3.5,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c4.json,754e0f3019313a8d47449061b6c7af80c769bd82f026a6a927bf371c2db876c4,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,8,,8192,1024,40,40,0,34.00378,1204.5719480883572,0.47038863499983563,0.00617493282502566,7.3,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c8.json,54aad80f0aea78419aaf104b7b62223980b827102d9ebb0eb9132d70ba8cc93c,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,16,,8192,1024,80,80,0,43.484477,1883.8906773309811,0.5058337059999758,0.007971974432552754,14.5,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c16.json,2ebc96aab86c5218d96f92ff62b2ce3d9fdb9a6c529cf1f922b3c306e2b98ac6,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,32,,8192,1024,160,160,0,56.78536,2885.2507178611645,0.7676267895003548,0.010316538820626492,29.1,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c32.json,cc418001e23d9dd8341ec4326b98b90f33225d95edd4c923e30cd7c269e0c42a,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,decode,64,,8192,1024,320,320,0,80.109933,4090.3791374545212,1.0969078375001118,0.014549345630009404,59.8,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/fixed/c64.json,2f62dbd99f9cb0d136fbb8b3abfa8ec84ec5b6dd148b198dda7d3f0d0a122dce,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,prefill,1,8192,8195,1,59,59,0,,34148.0,0.24,,1.0,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/prefill/cold.json,0c9f5ac43e1d96d657e32c3c5443643c62a57f21a3fadfd0e356719f227e4330,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,prefill,1,32768,32771,1,30,30,0,,40177.0,0.816,,1.0,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/prefill/cold.json,0c9f5ac43e1d96d657e32c3c5443643c62a57f21a3fadfd0e356719f227e4330,one_engine_on_one_station
qwen38-4p89-tp1-mtp0-gemini1-v1,raw_benchmark_measurement,MEASURED_CURRENT,DGX Station,local-inference-lab/Qwen3.8-Flash-Next-NVFP4-4p89,ee0cea634a371acd1caeaed8e95b90e4344c16b4,SGLang (qwen38-4p89-sglang:runtime-v1),NVFP4 TP1/MTP0,single_node_tp1_ep_disabled,0,prefill,1,65536,65538,1,15,15,0,,38653.0,1.696,,1.0,0.0,false,/home/catid/frontier-bench/results/qwen38-4p89-sglang/qwen38-4p89-tp1-mtp0-gemini1-v1/benchmark/raw/prefill/cold.json,0c9f5ac43e1d96d657e32c3c5443643c62a57f21a3fadfd0e356719f227e4330,one_engine_on_one_station
